product_name,predicted_cat,predicted_sub_cat,error
Grand Bear Polo T Shirts For Men   GBTS P 08 04 11 07,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Pepe Printed Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Grand Bear Polo T Shirts For Men   GBTS P 08 04 11 07,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Grand Bear Polo T Shirts For Men   GBTS P 08 04 11 07,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Grand Bear Polo T Shirts For Men   GBTS P 08 04 11 07,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Grand Bear Polo T Shirts For Men   GBTS P 08 04 11 07,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Grand Bear Polo T Shirts For Men   GBTS P 08 04 11 07,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Grand Bear Polo T Shirts For Men   GBTS P 08 04 11 07,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Grand Bear Polo T Shirts For Men   GBTS P 08 04 11 07,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Grand Bear Polo T Shirts For Men   GBTS P 08 04 11 07,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lee Men's Solid Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Striped Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Solid Women's Track Pants,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Gas Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Levi's Men's Vest,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Nautica Tapered Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Max Printed Women's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Black Coffee Men's Checkered Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Newport Straight Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Scullers Casual Roll-up Sleeve Checkered Women's Top,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Max Solid Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
10 Mini Round Tea light Candles Pack,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Allen Solly Men's Striped Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Slim And Lift men Body Shaper Vest Tummy shaper tummy tuck vest,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
GDivine Men s Plain Round Neck T-shirt Golden Yellow,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Fairly Pink Plain Cotton Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Slim Fit Men's Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
People Solid Boy's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Printed Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Nautica Solid Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Adidas Full Sleeve Solid Men's Jacket,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Arrow Sport Slim Fit Men's Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Newport Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lee Full Sleeve Solid Men's Sweatshirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Russell Athletic Solid Men's Basic Shorts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Pool Blue Solid Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
