product_name,predicted_cat,predicted_sub_cat,error
Combo Of Lamborghini And Mercedes Sls Rc Cars, ,,0
Grand Theft Auto : Vice City, ,,0
Nitein Black Fishnet Stockings, ,,0
Intex Jungle Fun Cottage, ,,0
Premium Cotton Unisex Tee	Heather grey	2XL	1,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Krishna Fashion Red And Cream Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Vandv Black And Grey Bollywood Embellished Semi Stitched Suit,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Krishna Fashion Red And Cream Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Krishna Fashion Red And Cream Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Sareemall Brown Georgette Salwar And Kameez,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Krishna Fashion Red And Cream Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Ecoco Black Chiffon Semi Stitched Gown,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Perfect Sarees Aqua Faux Chiffon Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Khantil Olive Green Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Fashion Storey Red Chiffon Semi Stitched Anarkali Suit,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Fabfiza Pankhudi Georgette Red Semi Stitched Anarkali Suit,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Krishna Fashion Red And Cream Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Mangal Shree Pink Chiffon Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Krishna Fashion Red And Cream Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Krishna Fashion Red And Cream Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Sanvari Pink & Black Dress (Size-30),Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
V&V White Chiffon Dress Material,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Khantil Olive Green Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Khantil Olive Green Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Krishna Fashion Red And Cream Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Krishna Fashion Red And Cream Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Silkbazar Multicolored Cotton Printed Dress Material,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Premvatifab Black Georgette Semi Stiched Suit,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
Khantil Olive Green Saree,Apparel & Accessories,Apparel & Accessories->Women's Clothing,1
